ma_bao,bat_dau,ket_thuc,thoi_gian,lat,lon,suc_gio
AL011940,19/05/1940 12:00,27/05/1940 06:00,19/05/1940 12:00,22.0N,71.0W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,19/05/1940 18:00,22.7N,71.3W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,20/05/1940 00:00,23.4N,71.5W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,20/05/1940 06:00,24.2N,71.7W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,20/05/1940 12:00,25.0N,71.9W,40.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,20/05/1940 18:00,26.0N,72.1W,40.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,21/05/1940 00:00,27.0N,72.2W,45.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,21/05/1940 06:00,28.0N,72.3W,45.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,21/05/1940 12:00,29.0N,72.4W,50.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,21/05/1940 18:00,30.1N,72.5W,50.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,22/05/1940 00:00,31.5N,72.7W,55.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,22/05/1940 06:00,33.5N,72.8W,55.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,22/05/1940 12:00,35.0N,72.8W,55.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,22/05/1940 18:00,35.6N,72.6W,55.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,23/05/1940 00:00,35.9N,72.3W,50.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,23/05/1940 06:00,36.0N,71.9W,50.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,23/05/1940 12:00,36.0N,71.5W,50.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,23/05/1940 18:00,36.0N,71.1W,45.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,24/05/1940 00:00,35.9N,70.7W,40.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,24/05/1940 06:00,35.7N,70.3W,40.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,24/05/1940 12:00,35.7N,69.8W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,24/05/1940 18:00,36.2N,69.2W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,25/05/1940 00:00,36.7N,68.5W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,25/05/1940 06:00,37.3N,67.9W,35.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,25/05/1940 12:00,37.9N,67.3W,30.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,25/05/1940 18:00,38.5N,66.7W,30.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,26/05/1940 00:00,39.1N,66.2W,30.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,26/05/1940 06:00,39.6N,65.7W,30.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,26/05/1940 12:00,40.2N,65.2W,30.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,26/05/1940 18:00,41.1N,64.3W,30.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,27/05/1940 00:00,42.2N,63.1W,25.0
AL011940,19/05/1940 12:00,27/05/1940 06:00,27/05/1940 06:00,43.5N,61.5W,20.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,03/08/1940 12:00,28.5N,83.1W,25.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,03/08/1940 18:00,28.1N,83.9W,30.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,04/08/1940 00:00,27.9N,84.7W,35.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,04/08/1940 06:00,27.8N,85.3W,40.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,04/08/1940 12:00,27.8N,85.9W,40.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,04/08/1940 18:00,27.8N,86.5W,45.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,05/08/1940 00:00,27.9N,87.2W,50.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,05/08/1940 06:00,28.0N,87.7W,55.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,05/08/1940 12:00,28.1N,88.2W,60.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,05/08/1940 18:00,28.2N,88.7W,65.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,06/08/1940 00:00,28.3N,89.2W,70.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,06/08/1940 06:00,28.4N,89.7W,70.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,06/08/1940 12:00,28.6N,90.4W,75.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,06/08/1940 18:00,28.8N,91.1W,80.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,07/08/1940 00:00,29.0N,91.9W,80.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,07/08/1940 06:00,29.2N,92.6W,85.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,07/08/1940 12:00,29.4N,93.2W,85.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,07/08/1940 18:00,29.6N,93.8W,85.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,07/08/1940 21:00,29.7N,94.1W,85.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,08/08/1940 00:00,29.8N,94.3W,65.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,08/08/1940 06:00,30.1N,94.5W,50.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,08/08/1940 12:00,30.5N,94.5W,45.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,08/08/1940 18:00,30.9N,94.5W,45.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,09/08/1940 00:00,31.3N,94.5W,40.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,09/08/1940 06:00,31.8N,94.5W,35.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,09/08/1940 12:00,32.4N,94.5W,30.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,09/08/1940 18:00,32.9N,94.5W,25.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,10/08/1940 00:00,33.4N,94.3W,25.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,10/08/1940 06:00,34.0N,94.0W,20.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,10/08/1940 12:00,34.8N,93.7W,20.0
AL021940,03/08/1940 12:00,10/08/1940 18:00,10/08/1940 18:00,35.7N,93.3W,20.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,05/08/1940 18:00,18.9N,64.8W,40.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,06/08/1940 00:00,19.1N,66.4W,40.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,06/08/1940 06:00,19.8N,68.2W,40.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,06/08/1940 12:00,20.6N,70.0W,40.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,06/08/1940 18:00,21.6N,71.4W,40.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,07/08/1940 00:00,22.0N,72.6W,40.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,07/08/1940 06:00,22.5N,73.4W,45.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,07/08/1940 12:00,23.2N,73.7W,45.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,07/08/1940 18:00,24.3N,73.8W,45.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,08/08/1940 00:00,25.3N,73.9W,50.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,08/08/1940 06:00,26.2N,73.8W,55.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,08/08/1940 12:00,27.1N,73.8W,55.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,08/08/1940 18:00,27.9N,73.8W,60.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,09/08/1940 00:00,28.4N,73.8W,60.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,09/08/1940 06:00,28.9N,74.2W,65.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,09/08/1940 12:00,29.2N,74.8W,65.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,09/08/1940 18:00,29.4N,75.3W,70.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,10/08/1940 00:00,29.5N,75.9W,70.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,10/08/1940 06:00,29.6N,76.4W,75.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,10/08/1940 12:00,29.9N,76.9W,80.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,10/08/1940 18:00,30.3N,77.4W,80.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,11/08/1940 00:00,30.7N,77.9W,85.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,11/08/1940 06:00,31.3N,78.5W,85.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,11/08/1940 12:00,31.8N,79.3W,85.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,11/08/1940 18:00,32.1N,80.3W,85.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,11/08/1940 20:00,32.1N,80.8W,85.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,12/08/1940 00:00,32.2N,81.3W,65.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,12/08/1940 06:00,32.4N,82.4W,50.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,12/08/1940 12:00,32.6N,83.5W,35.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,12/08/1940 18:00,33.2N,84.2W,30.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,13/08/1940 00:00,33.7N,84.7W,30.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,13/08/1940 06:00,34.3N,84.8W,30.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,13/08/1940 12:00,34.9N,84.8W,25.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,13/08/1940 18:00,35.5N,84.8W,25.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,14/08/1940 00:00,36.0N,84.6W,25.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,14/08/1940 06:00,36.4N,83.9W,25.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,14/08/1940 12:00,36.8N,82.9W,25.0
AL031940,05/08/1940 18:00,14/08/1940 18:00,14/08/1940 18:00,37.0N,81.8W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,26/08/1940 12:00,26.2N,65.3W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,26/08/1940 18:00,26.4N,65.5W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,27/08/1940 00:00,26.6N,65.8W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,27/08/1940 06:00,26.8N,66.0W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,27/08/1940 12:00,27.0N,66.3W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,27/08/1940 18:00,27.2N,66.6W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,28/08/1940 00:00,27.4N,66.9W,25.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,28/08/1940 06:00,27.5N,67.1W,30.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,28/08/1940 12:00,27.6N,67.4W,30.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,28/08/1940 18:00,27.8N,67.7W,35.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,29/08/1940 00:00,28.0N,68.0W,40.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,29/08/1940 06:00,28.2N,68.4W,45.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,29/08/1940 12:00,28.4N,68.8W,50.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,29/08/1940 18:00,28.6N,69.3W,55.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,30/08/1940 00:00,28.9N,69.8W,60.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,30/08/1940 06:00,29.4N,70.4W,65.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,30/08/1940 12:00,30.1N,71.1W,75.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,30/08/1940 18:00,30.8N,72.0W,80.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,31/08/1940 00:00,31.5N,72.8W,80.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,31/08/1940 06:00,32.0N,73.3W,80.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,31/08/1940 12:00,32.4N,73.7W,85.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,31/08/1940 18:00,33.0N,73.9W,85.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,01/09/1940 00:00,33.7N,74.2W,90.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,01/09/1940 06:00,34.5N,74.3W,95.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,01/09/1940 12:00,35.2N,73.5W,95.0
AL041940,26/08/1940 12:00,03/09/1940 18:00,01/09/1940 18:00,36.5N,72.5W,90.0
